"Weight","Seed","L_R_Init","L_R_Final","L_R_OK","R_R_Init","R_R_Final","R_R_OK","L_T_Init","L_T_Final","R_T_Init","R_T_Final","Dice","Time"
"0.1","2026","1.95384502410889","0.702207863330841","True","1.22077143192291","0.603283107280731","True","0.66120570898056","0.660557091236115","1.52770984172821","0.586923897266388","0.983924369017283","0.969473800010746"
"0.1","2027","1.17702853679657","0.451107949018478","True","2.40680265426636","0.899616479873657","True","1.91279530525208","0.733585059642792","1.59135568141937","0.648685574531555","0.980768034855525","0.824457099981373"
"0.1","2028","1.40025579929352","1.19419360160828","True","1.28206896781921","0.690405011177063","True","2.03177213668823","0.820402681827545","0.95248556137085","0.647799968719482","0.965894520282745","0.75528640000266"
"0.1","2029","1.51955497264862","1.16902101039886","True","0.567862331867218","0.712718188762665","False","0.768460988998413","0.75706160068512","0.151102960109711","0.673885643482208","0.984979639450709","0.777852700004587"
"0.1","2030","2.40794086456299","2.00818109512329","True","1.20755553245544","0.996618628501892","True","3.02280616760254","2.21952438354492","1.98536574840546","0.697945296764374","0.820184022188187","0.777740799996536"
"0.1","2031","1.08390069007874","0.433410406112671","True","2.25776100158691","0.889994442462921","True","1.48286211490631","0.682372391223907","1.54060792922974","0.657872557640076","0.979036301374435","0.797335000010207"
"0.1","2032","0.903090059757233","0.699975073337555","True","2.22052502632141","0.395647585391998","True","2.24727869033813","0.902873039245606","1.30266988277435","0.592874705791473","0.957933674256007","0.768934099993203"
"0.1","2033","1.13228750228882","0.410216242074966","True","1.79362368583679","0.833686947822571","True","2.75153279304504","0.698594152927399","1.17048704624176","0.599852919578552","0.977341264486313","0.753180300001986"
"0.1","2034","1.12047398090363","0.718732893466949","True","1.61495184898376","1.31164407730103","True","1.13772773742676","0.72990095615387","1.99483847618103","0.690021276473999","0.981449156999588","0.733351100003347"
"0.1","2035","2.50639677047729","0.695487916469574","True","0.868631064891815","0.659678757190704","True","2.25482773780823","0.71679025888443","0.689363837242126","0.628298878669739","0.984441647926966","0.758608799980721"
