"Test","Seed","RotationDeg","TranslationMm","JointsDeg","InitialDice","FinalDice","LeftDice","RightDice","PassOverall","PassBothArms","L_T","R_T","L_R","R_R","L_J","R_J"
"R5_T5_J5","2028","5","5","5","0.126921210127572","0.126921210127572","0","0.253842420255144","False","False","10.1588716506958","4.76243257522583","7.03870964050293","6.45737314224243","3.00642061233521","2.69953799247742"
"R5_T5_J5","2029","5","5","5","0.59939352919658","0.804553359746933","0.625949958960215","0.983156760533651","False","False","2.02230381965637","0.566525399684906","2.07622289657593","0.553200721740723","3.83415579795837","1.6870584487915"
"R5_T5_J5","2030","5","5","5","0.157653349994992","0.157653349994992","0.00218644412234426","0.31312025586764","False","False","15.1140203475952","9.92681312561035","12.0167350769043","6.02772808074951","6.13929271697998","2.93691420555115"
"R5_T5_J5","2031","5","5","5","0.380054172749321","0.612087478705992","0.96750807762146","0.256666879790525","False","False","0.741774499416351","9.06052684783936","1.24269556999207","9.31050777435303","2.80616426467896","3.52089548110962"
"R5_T5_J5","2032","5","5","5","0.112143269274384","0.112143269274384","0.0150433825328946","0.209243156015873","False","False","11.2363958358765","6.51335000991821","4.51014995574951","11.0921039581299","3.17426347732544","3.30448150634766"
"R5_T5_J5","2033","5","5","5","0.421519900361697","0.421519900361697","0.194744378328323","0.64829542239507","False","False","13.7576675415039","5.8524227142334","5.64132118225098","8.92728805541992","2.56097269058228","5.52333450317383"
"R5_T5_J5","2034","5","5","5","0.0691527370363474","0.0691527370363474","0.0635135012368361","0.0747919728358587","False","False","5.68863487243652","9.97418403625488","5.60584354400635","8.00189590454102","3.95012378692627","4.34102725982666"
"R5_T5_J5","2035","5","5","5","0.197114942284922","0.197114942284922","0.00804505248864492","0.386184832081199","False","False","11.2741365432739","3.44682097434998","12.4513244628906","4.34289169311523","3.13904571533203","7.40221405029297"
"R8_T5_J8","2026","8","5","8","0.0970700085163116","0.0970700085163116","0.121185181041559","0.0729548359910647","False","False","3.30602979660034","7.63854122161865","15.6670694351196","9.83867168426514","3.29453945159912","8.5437650680542"
"R8_T5_J8","2027","8","5","8","0.0750483538334568","0.0750483538334568","0.00904977383712927","0.141046933829784","False","False","9.56398296356201","7.95677280426025","9.52815246582031","19.3157253265381","0.807648181915283","8.83815670013428"
"R8_T5_J8","2028","8","5","8","0.1302656630675","0.1302656630675","0","0.260531326135","False","False","10.1588716506958","4.76243257522583","11.3046340942383","10.3858966827393","4.81027030944824","4.31925964355469"
"R8_T5_J8","2029","8","5","8","0.554192364215851","0.770842815438906","0.569762895504634","0.971922735373179","False","False","1.70930576324463","0.55369246006012","7.71001577377319","0.955315828323364","6.30404615402222","3.72165870666504"
